​:ID;title:string;venue:string;city:string;period:string;year:int
9048118;3rd International Conference on Web Intelligence, Mining and Semantics, WIMS '13, Madrid, Spain, June 12-14, 2013;Ko Olina Marriot Beach Club;Madrid;10-14 January;1969
9048119;Edition of the 6th International Conference on Web Intelligence, Mining and Semantics, WIMS 2016, NÃ®mes, France, June 13-15, 2016;Hyatt Regency Waikiki;Berlin;8-9 February;1970
9048120;2nd International Conference on Web Intelligence, Mining and Semantics, WIMS '12, Craiova, Romania, June 6-8, 2012;Hawaii Prince Hotel Waikiki;Athens;11-13 March;1971
9048121;4th International Conference on Web Intelligence, Mining and Semantics (WIMS 14), WIMS '14, Thessaloniki, Greece, June 2-4, 2014;Aqua Bamboo Waikiki;Paris;23-25 April;1972
9048122;Edition of the 7th International Conference on Web Intelligence, Mining and Semantics, WIMS 2017, Amantea, Italy, June 19-22, 2017;Aqua Aloha Surf Waikiki Hotel;Brussels;28-29 May;1973
9048123;Edition of the International Conference on Web Intelligence, Mining and Semantics, WIMS 2011, Sogndal, Norway, May 25 - 27, 2011;Sheraton Kauai Resort;Thessaloniki;22-23 August;1974
9048124;Edition of the 8th International Conference on Web Intelligence, Mining and Semantics, WIMS 2018, Novi Sad, Serbia, June 25-27, 2018;Kilauea Lakeside Estate;London;25-28 August;1975
9048204;Advances in Computer Science, Intelligent System and Environment [Edition of CSISE 2011, Volume 1, September 24-25, 2011, Guangzhou, China];Grand Hyatt Kauai Resort & Spa;Barcelona;12-14 June;1976
9048266;Edition of the 2nd International Conference on Algorithms for Big Data , Palermo, Italy, April 07-09, 2014.;Ritz-Carlton Kapalua;Madrid;17-19 September;1977
9047406;New Trends in Multimedia and Network Information Systems;Marriott Maui Ocean Club;Berlin;20-22 September;1955
9047466;1st International ICST Conference on Systems Engineering and Modeling, ICSEM 2007, Herzliyya-Haifa, Israel, March 20-23, 2007;Sheraton Princess Kaiulani;Athens;22-25 December;1956
9047554;2010 Internet Network Management Workshop / Workshop on Research on Enterprise Networking, San Jose, CA, USA, April, 2010;Kahala Hotel & Resort;Paris;10-12 November;1957
9047646;Intelligent Data analysis and its Applications, Volume II - Proceeding of the First Euro-China Conference on Intelligent Data Analysis and Applications, June 13-15, 2014, Shenzhen, China;Holiday Inn Waikiki Beachcomber;Brussels;12-13 July;1958
9047700;Agent-Oriented Information Systems III, 7th International Bi-Conference Workshop, AOIS2005, Utrecht, Netherlands, July 26, 2005, and Klagenfurt, Austria, October 27, 2005, Revised Selected Papers;Hilton Hawaiian Village;Thessaloniki;1-2 June;1959
9047702;Agent-Oriented Information Systems, 5th International Bi-Conference Workshop, AOIS 2003, Melbourne, Australia, July 14, 2003 and Chicago, IL, USA, October 13th, 2003, Revised Selected Papers;Hale Koa Hotel;London;10-14 January;1960
9047704;Agent-Oriented Information Systems IV, 8th International Bi-Conference Workshop, AOIS 2006, Hakodate, Japan, May 9, 2006 and Luxembourg, Luxembourg, June 6, 2006, Revised Selected Papers;Waikiki Beach Marriott;Barcelona;8-9 February;1961
9047705;Agent-Oriented Information Systems II, 6th International Bi-Conference Workshop, AOIS 2004, Riga, Latvia, June 8, 2004 and New York, NY, USA, July 20, 2004,Revised Selected Papers;Sheraton Waikiki;Madrid;11-13 March;1962
9047788;TeX, XML, and Digital Typography, International Conference on TeX, XML, and Digital Typography, Held Jointly with the 25th Annual Meeting of the TeX Users Group, TUG 2004, Xanthi, Greece, August 30 - September 3, 2004, Edition;Turtle Bay Resort;Berlin;23-25 April;1963
9047914;European Information Security Multi-Conference (EISMC 2013), Lisbon, Portugal, May 8-10, 2013. Edition;JW Marriott Ihilani, Ko Olina;Athens;28-29 May;1964
9047963;International Colloquium Universal Machines and Computations, MCU'98, Metz, France, March 23-27, 1998, Editioni, Volume II;Grand Wailea Resort;Paris;22-23 August;1965
9048027;Distributed Computing in Sensor Systems, Third IEEE International Conference, DCOSS 2007, Santa Fe, NM, USA, June 18-20, 2007, Edition;Maui Prince Hotel;Brussels;25-28 August;1966
9048028;2015 International Conference on Distributed Computing in Sensor Systems, DCOSS 2015, Fortaleza, Brazil, June 10-12, 2015;Mauna Lani Bay Hotel & Bungalows;Thessaloniki;12-14 June;1967
9048029;Distributed Computing in Sensor Systems, 5th IEEE International Conference, DCOSS 2009, Marina del Rey, CA, USA, June 8-10, 2009. Edition;Hilton Waikoloa Village;London;17-19 September;1968
9048030;Distributed Computing in Sensor Systems, First IEEE International Conference, DCOSS 2005, Marina del Rey, CA, USA, June 30 - July 1, 2005, Edition;Wyndham at Waikiki Beach Walk;Barcelona;20-22 September;1969
9048031;Distributed Computing in Sensor Systems, 4th IEEE International Conference, DCOSS 2008, Santorini Island, Greece, June 11-14, 2008, Edition;Marriott Waiohai Beach Club;Madrid;22-25 December;1970
9048032;Distributed Computing in Sensor Systems, Second IEEE International Conference, DCOSS 2006, San Francisco, CA, USA, June 18-20, 2006, Edition;Westin Kaanapali Ocean Resort Villas;Berlin;10-12 November;1971
9048033;IEEE International Conference on Distributed Computing in Sensor Systems, DCOSS 2013, Cambridge, MA, USA, May 20-23, 2013;Wailea Beach Marriott Resort & Spa;Athens;12-13 July;1972
9048034;International Conference on Distributed Computing in Sensor Systems, DCOSS 2016, Washington, DC, USA, May 26-28, 2016;Hyatt Regency Maui Resort & Spa;Paris;1-2 June;1973
9048035;IEEE 8th International Conference on Distributed Computing in Sensor Systems, DCOSS 2012, Hangzhou, China, 16-18 May, 2012;Fairmont Kea Lani;Brussels;10-14 January;1974
9048036;IEEE International Conference on Distributed Computing in Sensor Systems, DCOSS 2014, Marina Del Rey, CA, USA, May 26-28, 2014;Moana Surfrider;Thessaloniki;8-9 February;1975
9048037;13th International Conference on Distributed Computing in Sensor Systems, DCOSS 2017, Ottawa, ON, Canada, June 5-7, 2017;Ko Olina Marriot Beach Club;London;11-13 March;1976
9048038;Distributed Computing in Sensor Systems, 6th IEEE International Conference, DCOSS 2010, Santa Barbara, CA, USA, June 21-23, 2010. Edition;Hyatt Regency Waikiki;Barcelona;23-25 April;1977
9048039;Distributed Computing in Sensor Systems, 7th IEEE International Conference and Workshops, DCOSS 2011, Barcelona, Spain, 27-29 June, 2011, Edition;Hawaii Prince Hotel Waikiki;Madrid;28-29 May;1978
9048040;14th International Conference on Distributed Computing in Sensor Systems, DCOSS 2018, New York, NY, USA, June 18-20, 2018;Aqua Bamboo Waikiki;Berlin;22-23 August;1979
9048125;Mathematical and Engineering Methods in Computer Science - 10th International Doctoral Workshop, MEMICS 2015, Telari, Czech Republic, October 23-25, 2015, Revised Selected Papers;Aqua Aloha Surf Waikiki Hotel;Athens;25-28 August;1980
9048126;Annual Doctoral Workshop on Mathematical and Engineering Methods in Computer Science, MEMICS 2009, November 13-15, 2009, Prestige Hotel, Znojmo, Czech Republic;Sheraton Kauai Resort;Paris;12-14 June;1981
9048127;Mathematical and Engineering Methods in Computer Science, 8th International Doctoral Workshop, MEMICS 2012, Znojmo, Czech Republic, October 25-28, 2012, Revised Selected Papers;Kilauea Lakeside Estate;Brussels;17-19 September;1982
9048128;Mathematical and Engineering Methods in Computer Science - 9th International Doctoral Workshop, MEMICS 2014, Telari, Czech Republic, October 17-19, 2014, Revised Selected Papers;Grand Hyatt Kauai Resort & Spa;Thessaloniki;20-22 September;1983
9048129;Sixth Doctoral Workshop on Mathematical and Engineering Methods in Computer Science, MEMICS 2010, Selected Papers, October 22-24, 2010, Mikulov, Czech Republic;Ritz-Carlton Kapalua;London;22-25 December;1984
9048130;Mathematical and Engineering Methods in Computer Science - 7th International Doctoral Workshop, MEMICS 2011, Lednice, Czech Republic, October 14-16, 2011, Revised Selected Papers;Marriott Maui Ocean Club;Barcelona;10-12 November;1985
9048205;Advances in Computer Science, Intelligent System and Environment [Edition of CSISE 2011, Volume 3, September 24-25, 2011, Guangzhou, China];Sheraton Princess Kaiulani;Madrid;12-13 July;1986
9048267;Construction and Analysis of Safe, Secure, and Interoperable Smart Devices, Second International Workshop, CASSIS 2005, Nice, France, March 8-11, 2005, Revised Selected Papers;Kahala Hotel & Resort;Berlin;1-2 June;1987
9048268;Construction and Analysis of Safe, Secure, and Interoperable Smart Devices, International Workshop, CASSIS 2004, Marseille, France, March 10-14, 2004, Revised Selected Papers;Holiday Inn Waikiki Beachcomber;Athens;10-14 January;1988
9047407;Software Engineering: Evolution and Emerging Technologies;Hilton Hawaiian Village;Paris;8-9 February;1955
9047467;Edition of the Sixth International Workshop on Linguistically Interpreted Corpora, LINC@IJCNLP 2005, Jeju Island, Korea, October 15, 2005;Hale Koa Hotel;Brussels;11-13 March;1956
9047555;First USENIX Workshop on Large-Scale Exploits and Emergent Threats, LEET '08, San Francisco, CA, USA, April 15, 2008, Edition;Waikiki Beach Marriott;Thessaloniki;23-25 April;1957
9047647;AES International Conference on Semantic Audio 2014, London, UK, January 27-29, 2014;Sheraton Waikiki;London;28-29 May;1958
9047648;AES International Conference Semantic Audio 2017, Erlangen, Germany, June 22-24, 2017;Turtle Bay Resort;Barcelona;22-23 August;1959
9047649;AES International Conference Semantic Audio 2011, Ilmenau, Germany, July 22-24, 2011;JW Marriott Ihilani, Ko Olina;Madrid;25-28 August;1960
9047701;AOIS '02, Agent-Oriented Information Systems, Edition of the Fourth International Bi-Conference Workshop on Agent-Oriented Information Systems (AOIS-2002 at AAMAS*02);Grand Wailea Resort;Berlin;12-14 June;1961
9047789;Data and Knowledge Engineering - Third International Conference, ICDKE 2012, Wuyishan, Fujian, China, November 21-23, 2012. Edition;Maui Prince Hotel;Athens;17-19 September;1962
9047915;12th Web Information System and Application Conference, WISA 2015, Jinan, China, September 11-13, 2015;Mauna Lani Bay Hotel & Bungalows;Paris;20-22 September;1963
9047919;11th Web Information System and Application Conference, WISA 2014, Tianjin, China, September 12-14, 2014;Hilton Waikoloa Village;Brussels;22-25 December;1964
9047965;Medical Image Understanding and Analysis - MIUA 2015. 19th Annual Conference, University of Lincoln, Lincoln, UK, July 15-17, 2015.;Wyndham at Waikiki Beach Walk;Thessaloniki;10-12 November;1965
9047966;20th Conference on Medical Image Understanding and Analysis, MIUA 2016, Loughbrough University, Leicestershire, UK, July 6-8, 2016;Marriott Waiohai Beach Club;London;12-13 July;1966
9047967;Medical Image Understanding and Analysis - MIUA 2014. 18th Annual Conference, Egham, UK, July 9-11, 2014. Edition.;Westin Kaanapali Ocean Resort Villas;Barcelona;1-2 June;1967
9047968;Medical Image Understanding and Analysis - 21st Annual Conference, MIUA 2017, Edinburgh, UK, July 11-13, 2017, Edition;Wailea Beach Marriott Resort & Spa;Madrid;10-14 January;1968
9047969;Medical Image Understanding and Analysis - MIUA 2011. 15th Annual Conference, London, UK, July 14-15, 2011. Edition.;Hyatt Regency Maui Resort & Spa;Berlin;8-9 February;1969
9047970;Medical Image Understanding and Analysis - 22nd Conference, MIUA 2018, Southampton, UK, July 9-11, 2018, Edition;Fairmont Kea Lani;Athens;11-13 March;1970
9048041;The 30th Communicating Process Architectures Conference, CPA 2007, organised under the auspices of WoTUG and the University of Surrey, Guildford, Surrey, UK, 8-11 July 2007;Moana Surfrider;Paris;23-25 April;1971
9048042;The thirty-second Communicating Process Architectures Conference, CPA 2009, organised under the auspices of WoTUG, Eindhoven, The Netherlands, 1-6 November 2009;Ko Olina Marriot Beach Club;Brussels;28-29 May;1972
9048043;The 28th Communicating Process Architectures Conference, CPA 2005, organised under the auspices of WoTUG, Philips and the Technische Universiteit Eindhoven, Eindhoven, The Netherlands, 18-21 September 2005;Hyatt Regency Waikiki;Thessaloniki;22-23 August;1973
9048044;The thirty-first Communicating Process Architectures Conference, CPA 2008, organised under the auspices of WoTUG and the Department of Computer Science of the University of York, York, Yorkshire, UK, 7-10 September 2008;Hawaii Prince Hotel Waikiki;London;25-28 August;1974
9048045;The 29th Communicating Process Architectures Conference, CPA 2006, organised under the auspices of WoTUG and the Napier University, Edinburgh, Scottland, UK, 17-20 September 2006;Aqua Bamboo Waikiki;Barcelona;12-14 June;1975
9048046;35th Communicating Process Architectures, CPA 2013, organised under the auspices of WoTUG, Edinburgh, Scotland, UK, August 25, 2013;Aqua Aloha Surf Waikiki Hotel;Madrid;17-19 September;1976
9048047;34th Communicating Process Architectures, CPA 2012, organised under the auspices of WoTUG, Dundee, Scotland, UK, August 26, 2012;Sheraton Kauai Resort;Berlin;20-22 September;1977
9048048;33th Communicating Process Architectures Conference, CPA 2011, organised under the auspices of WoTUG, Limerick, Ireland, June 19th, 2011;Kilauea Lakeside Estate;Athens;22-25 December;1978
9048105;2011 International Conference on Data and Knowledge Engineering, ICDKE 2011, Milano, Italy, September 6, 2011;Grand Hyatt Kauai Resort & Spa;Paris;10-12 November;1979
9048131;Towards Autonomous Robotic Systems - 16th Annual Conference, TAROS 2015, Liverpool, UK, September 8-10, 2015, Edition;Ritz-Carlton Kapalua;Brussels;12-13 July;1980
9048132;Towards Autonomous Robotic Systems - 14th Annual Conference, TAROS 2013, Oxford, UK, August 28-30, 2013, Revised Selected Papers;Marriott Maui Ocean Club;Thessaloniki;1-2 June;1981
9048133;Towards Autonomous Robotic Systems - 17th Annual Conference, TAROS 2016, Sheffield, UK, June 26 - July 1, 2016, Edition;Sheraton Princess Kaiulani;London;10-14 January;1982
9048134;Advances in Autonomous Robotics - Joint Edition of the 13th Annual TAROS Conference and the 15th Annual FIRA RoboWorld Congress, Bristol, UK, August 20-23, 2012;Kahala Hotel & Resort;Barcelona;8-9 February;1983
9048135;Advances in Autonomous Robotics Systems - 15th Annual Conference, TAROS 2014, Birmingham, UK, September 1-3, 2014. Edition;Holiday Inn Waikiki Beachcomber;Madrid;11-13 March;1984
9048136;Towards Autonomous Robotic Systems - 18th Annual Conference, TAROS 2017, Guildford, UK, July 19-21, 2017, Edition;Hilton Hawaiian Village;Berlin;23-25 April;1985
9048137;Towards Autonomous Robotic Systems - 12th Annual Conference, TAROS 2011, Sheffield, UK, August 31 - September 2, 2011. Edition;Hale Koa Hotel;Athens;28-29 May;1986
9048138;Towards Autonomous Robotic Systems - 19th Annual Conference, TAROS 2018, Bristol, UK July 25-27, 2018, Edition;Waikiki Beach Marriott;Paris;22-23 August;1987
9048206;RIMS Symposia on Software Science and Engineering II, Edition of the Symposia 1983 and 1984, Kyoto, Japan;Sheraton Waikiki;Brussels;25-28 August;1988
9048269;Digital Heritage. Progress in Cultural Heritage: Documentation, Preservation, and Protection - 7th International Conference, EuroMed 2018, Nicosia, Cyprus, October 29 - November 3, 2018, Edition, Part I;Turtle Bay Resort;Thessaloniki;12-14 June;1989
9048270;Digital Heritage. Progress in Cultural Heritage: Documentation, Preservation, and Protection - 6th International Conference, EuroMed 2016, Nicosia, Cyprus, October 31 - November 5, 2016, Edition, Part I;JW Marriott Ihilani, Ko Olina;London;17-19 September;1990
9047409;Secure Multi-Party Computation;Grand Wailea Resort;Barcelona;20-22 September;1955
9047468;Edition of 4th International Workshop on Linguistically Interpreted Corpora, LINC@EACL 2003, Budapest, Hungary, April 13-14, 2003;Maui Prince Hotel;Madrid;22-25 December;1956
9047557;Usability, Psychology, and Security, UPSEC'08, San Francisco, CA, USA, April 14, 2008, Edition;Mauna Lani Bay Hotel & Bungalows;Berlin;10-12 November;1957
9047650;Workstations for Experiments, IFIP WG 5.10 International Working Conference, Lowell, MA, USA, July 1989;Hilton Waikoloa Village;Athens;12-13 July;1958
9047703;AOIS '02, Agent-Oriented Information Systems, Edition of the Fourth International Bi-Conference Workshop on Agent-Oriented Information Systems (AOIS-2002 at CAiSE*02);Wyndham at Waikiki Beach Walk;Paris;1-2 June;1959
9047790;Edition of the Network and Distributed System Security Symposium, NDSS 2002, San Diego, California, USA;Marriott Waiohai Beach Club;Brussels;10-14 January;1960
9047791;Edition of the Network and Distributed System Security Symposium, NDSS 2007, San Diego, California, USA, 28th February - 2nd March 2007;Westin Kaanapali Ocean Resort Villas;Thessaloniki;8-9 February;1961
9047792;22nd Annual Network and Distributed System Security Symposium, NDSS 2015, San Diego, California, USA, February 8-11, 2015;Wailea Beach Marriott Resort & Spa;London;11-13 March;1962
9047793;Edition of the Network and Distributed System Security Symposium, NDSS 2009, San Diego, California, USA, 8th February - 11th February 2009;Hyatt Regency Maui Resort & Spa;Barcelona;23-25 April;1963
9047794;Edition of the Network and Distributed System Security Symposium, NDSS 2005, San Diego, California, USA;Fairmont Kea Lani;Madrid;28-29 May;1964
9047795;Edition of the Network and Distributed System Security Symposium, NDSS 1999, San Diego, California, USA;Moana Surfrider;Berlin;22-23 August;1965
9047796;Edition of the Network and Distributed System Security Symposium, NDSS 2008, San Diego, California, USA, 10th February - 13th February 2008;Ko Olina Marriot Beach Club;Athens;25-28 August;1966
9047797;Edition of the Network and Distributed System Security Symposium, NDSS 2003, San Diego, California, USA;Hyatt Regency Waikiki;Paris;12-14 June;1967
9047798;Edition of the Network and Distributed System Security Symposium, NDSS 2006, San Diego, California, USA;Hawaii Prince Hotel Waikiki;Brussels;17-19 September;1968
9047799;20th Annual Network and Distributed System Security Symposium, NDSS 2013, San Diego, California, USA, February 24-27, 2013;Aqua Bamboo Waikiki;Thessaloniki;20-22 September;1969
9047800;Edition of the Network and Distributed System Security Symposium, NDSS 2001, San Diego, California, USA;Aqua Aloha Surf Waikiki Hotel;London;22-25 December;1970
9047801;23rd Annual Network and Distributed System Security Symposium, NDSS 2016, San Diego, California, USA, February 21-24, 2016;Sheraton Kauai Resort;Barcelona;10-12 November;1971
9047802;1996 Symposium on Network and Distributed System Security, (S)NDSS '96, San Diego, CA, USA, February 22-23, 1996;Kilauea Lakeside Estate;Madrid;12-13 July;1972
9047803;19th Annual Network and Distributed System Security Symposium, NDSS 2012, San Diego, California, USA, February 5-8, 2012;Grand Hyatt Kauai Resort & Spa;Berlin;1-2 June;1973
9047804;1995 Symposium on Network and Distributed System Security, (S)NDSS '95, San Diego, California, USA, February 16-17, 1995;Ritz-Carlton Kapalua;Athens;10-14 January;1974
9047805;21st Annual Network and Distributed System Security Symposium, NDSS 2014, San Diego, California, USA, February 23-26, 2014;Marriott Maui Ocean Club;Paris;8-9 February;1975
9047806;Edition of the Network and Distributed System Security Symposium, NDSS 2004, San Diego, California, USA;Sheraton Princess Kaiulani;Brussels;11-13 March;1976
9047807;Edition of the Network and Distributed System Security Symposium, NDSS 1997, San Diego, California, USA;Kahala Hotel & Resort;Thessaloniki;23-25 April;1977
9047808;Edition of the Network and Distributed System Security Symposium, NDSS 2000, San Diego, California, USA;Holiday Inn Waikiki Beachcomber;London;28-29 May;1978
9047809;24th Annual Network and Distributed System Security Symposium, NDSS 2017, San Diego, California, USA, February 26 - March 1, 2017;Hilton Hawaiian Village;Barcelona;22-23 August;1979
9047810;Edition of the Network and Distributed System Security Symposium, NDSS 2010, San Diego, California, USA, 28th February - 3rd March 2010;Hale Koa Hotel;Madrid;25-28 August;1980
9047811;Edition of the Network and Distributed System Security Symposium, NDSS 2011, San Diego, California, USA, 6th February - 9th February 2011;Waikiki Beach Marriott;Berlin;12-14 June;1981
9047812;25th Annual Network and Distributed System Security Symposium, NDSS 2018, San Diego, California, USA, February 18-21, 2018;Sheraton Waikiki;Athens;17-19 September;1982
9047813;Edition of the Network and Distributed System Security Symposium, NDSS 1998, San Diego, California, USA;Turtle Bay Resort;Paris;20-22 September;1983
9047916;2013 10th Web Information System and Application Conference, Yangzhou, China, November 10-15, 2013;JW Marriott Ihilani, Ko Olina;Brussels;22-25 December;1984
9047917;13th Web Information Systems and Applications Conference, WISA 2016, Wuhan, China, September 23-25, 2016;Grand Wailea Resort;Thessaloniki;10-12 November;1985
9047918;Ninth Web Information Systems and Applications Conference, WISA 2012, Haikou, Hainan, China, November 16-18, 2012;Maui Prince Hotel;London;12-13 July;1986
9047920;14th Web Information Systems and Applications Conference, WISA 2017, Liuzhou, Guangxi Province, China, November 11-12, 2017;Mauna Lani Bay Hotel & Bungalows;Barcelona;1-2 June;1987
9047921;8th Web Information Systems and Applications Conference, WISA 2011, Chongqing, China, October 21-23, 2011;Hilton Waikoloa Village;Madrid;10-14 January;1988
9047922;Web Information Systems and Applications - 15th International Conference, WISA 2018, Taiyuan, China, September 14-15, 2018, Edition;Wyndham at Waikiki Beach Walk;Berlin;8-9 February;1989
9047971;2007 First ACM/IEEE International Conference on Distributed Smart Cameras, ICDSC 2007, Vienna, Austria, 25-28 September, 2007;Marriott Waiohai Beach Club;Athens;11-13 March;1990
9047972;Edition of the 9th International Conference on Distributed Smart Camera, Seville, Spain, September 8-11, 2015;Westin Kaanapali Ocean Resort Villas;Paris;23-25 April;1991
9047973;Third ACM/IEEE International Conference on Distributed Smart Cameras, ICDSC 2009, Como, Italy, August 30 - September 2, 2009;Wailea Beach Marriott Resort & Spa;Brussels;28-29 May;1992
9047974;2008 Second ACM/IEEE International Conference on Distributed Smart Cameras, Stanford, CA, USA, September 7-11, 2008;Hyatt Regency Maui Resort & Spa;Thessaloniki;22-23 August;1993
9047975;Seventh International Conference on Distributed Smart Cameras, ICDSC 2013, October 29 2013-November 1, 2013, Palm Springs, CA, USA;Fairmont Kea Lani;London;25-28 August;1994
9047976;Edition of the 10th International Conference on Distributed Smart Camera, Paris, France, September 12-15, 2016;Moana Surfrider;Barcelona;12-14 June;1995
9047977;Sixth International Conference on Distributed Smart Cameras, ICDSC 2012, Hong Kong, China, October 30 - Nov. 2, 2012;Ko Olina Marriot Beach Club;Madrid;17-19 September;1996
9047978;Edition of the International Conference on Distributed Smart Cameras, ICDSC '14, Venezia Mestre, Italy, November 4-7, 2014;Hyatt Regency Waikiki;Berlin;20-22 September;1997
9047979;Edition of the 11th International Conference on Distributed Smart Cameras, Stanford, CA, USA, September 5-7, 2017;Hawaii Prince Hotel Waikiki;Athens;22-25 December;1998
9047980;2010 Fourth ACM/IEEE International Conference on Distributed Smart Cameras, Atlanta, GA, USA - August 31 - September 4, 2010;Aqua Bamboo Waikiki;Paris;10-12 November;1999
9047981;2011 Fifth ACM/IEEE International Conference on Distributed Smart Cameras, Ghent, Belgium, Aug. 22-25, 2011;Aqua Aloha Surf Waikiki Hotel;Brussels;12-13 July;2000
9047982;Edition of the 12th International Conference on Distributed Smart Cameras, ICDSC 2018, Eindhoven, The Netherlands, September 3-4, 2018;Sheraton Kauai Resort;Thessaloniki;1-2 June;2001
9048049;Edition of the 2015 Conference on Certified Programs and Proofs, CPP 2015, Mumbai, India, January 15-17, 2015;Kilauea Lakeside Estate;London;10-14 January;2002
9048050;Edition of the 8th ACM SIGPLAN International Conference on Certified Programs and Proofs, CPP 2019, Cascais, Portugal, January 14-15, 2019;Grand Hyatt Kauai Resort & Spa;Barcelona;8-9 February;2003
9048051;Certified Programs and Proofs - Third International Conference, CPP 2013, Melbourne, VIC, Australia, December 11-13, 2013, Edition;Ritz-Carlton Kapalua;Madrid;11-13 March;2004
9048052;Edition of the 5th ACM SIGPLAN Conference on Certified Programs and Proofs, Saint Petersburg, FL, USA, January 20-22, 2016;Marriott Maui Ocean Club;Berlin;23-25 April;2005
9048053;Certified Programs and Proofs - Second International Conference, CPP 2012, Kyoto, Japan, December 13-15, 2012. Edition;Sheraton Princess Kaiulani;Athens;28-29 May;2006
9048054;Edition of the 6th ACM SIGPLAN Conference on Certified Programs and Proofs, CPP 2017, Paris, France, January 16-17, 2017;Kahala Hotel & Resort;Paris;22-23 August;2007
9048055;Certified Programs and Proofs - First International Conference, CPP 2011, Kenting, Taiwan, December 7-9, 2011. Edition;Holiday Inn Waikiki Beachcomber;Brussels;25-28 August;2008
9048056;Edition of the 7th ACM SIGPLAN International Conference on Certified Programs and Proofs, CPP 2018, Los Angeles, CA, USA, January 8-9, 2018;Hilton Hawaiian Village;Thessaloniki;12-14 June;2009
9048139;2015 International Conference on Image and Vision Computing New Zealand, IVCNZ 2015, Auckland, New Zealand, November 23-24, 2015;Hale Koa Hotel;London;17-19 September;2010
9048140;28th International Conference on Image and Vision Computing New Zealand, IVCNZ 2013, Wellington, New Zealand, November 27-29, 2013;Waikiki Beach Marriott;Barcelona;20-22 September;2011
9048141;2016 International Conference on Image and Vision Computing New Zealand, IVCNZ 2016, Palmerston North, New Zealand, November 21-22, 2016;Sheraton Waikiki;Madrid;22-25 December;2012
9048142;Image and Vision Computing New Zealand, IVCNZ '12, Dunedin, New Zealand - November 26 - 28, 2012;Turtle Bay Resort;Berlin;10-12 November;2013
9048143;Edition of the 29th International Conference on Image and Vision Computing New Zealand, IVCNZ 2014, Hamilton, New Zealand, November 19-21, 2014;JW Marriott Ihilani, Ko Olina;Athens;12-13 July;2014
9048144;2017 International Conference on Image and Vision Computing New Zealand, IVCNZ 2017, Christchurch, New Zealand, December 4-6, 2017;Grand Wailea Resort;Paris;1-2 June;2015
9048145;2018 International Conference on Image and Vision Computing New Zealand, IVCNZ 2018, Auckland, New Zealand, November 19-21, 2018;Maui Prince Hotel;Brussels;10-14 January;2016
9048146;Image and Vision Computing New Zealand, International Conference, IVCNZ'98, Auckland, New Zealand, November 1998, Edition;Mauna Lani Bay Hotel & Bungalows;Thessaloniki;8-9 February;2017
9048207;RIMS Symposium on Software Science and Engineering, Kyoto, Japan, 1982, Edition;Hilton Waikoloa Village;London;11-13 March;2018
9048271;Digital Heritage. Progress in Cultural Heritage: Documentation, Preservation, and Protection - 7th International Conference, EuroMed 2018, Nicosia, Cyprus, October 29 - November 3, 2018, Edition, Part II;Wyndham at Waikiki Beach Walk;Barcelona;23-25 April;2019
9048272;Digital Heritage. Progress in Cultural Heritage: Documentation, Preservation, and Protection - 6th International Conference, EuroMed 2016, Nicosia, Cyprus, October 31 - November 5, 2016, Edition, Part II;Marriott Waiohai Beach Club;Madrid;28-29 May;1954
9047410;Multi-objective Swarm Intelligence - Theoretical Advances and Applications;Westin Kaanapali Ocean Resort Villas;Berlin;22-23 August;1955
9047469;6th Annual Workshop on the Economics of Information Security, WEIS 2007, The Heinz School and CyLab at Carnegie Mellon University, Pittsburgh, PA, USA, June 7-8, 2007;Wailea Beach Marriott Resort & Spa;Athens;25-28 August;1956
9047470;14th Annual Workshop on the Economics of Information Security, WEIS 2015, Delft, The Netherlands, 22-23 June, 2015;Hyatt Regency Maui Resort & Spa;Paris;12-14 June;1957
9047471;8th Annual Workshop on the Economics of Information Security, WEIS 2009, University College London, England, UK, June 24-25, 2009;Fairmont Kea Lani;Brussels;17-19 September;1958
9047472;4th Annual Workshop on the Economics of Information Security, WEIS 2005, Harvard University, Cambridge, MA, USA, June 1-3, 2005;Moana Surfrider;Thessaloniki;20-22 September;1959
9047473;7th Annual Workshop on the Economics of Information Security, WEIS 2008, Dartmouth College, Hanover, NH, USA, June 25-28, 2008;Ko Olina Marriot Beach Club;London;22-25 December;1960
9047474;5th Annual Workshop on the Economics of Information Security, WEIS 2006, Robinson College, University of Cambridge, England, UK, June 26-28, 2006;Hyatt Regency Waikiki;Barcelona;10-12 November;1961
9047475;11th Annual Workshop on the Economics of Information Security, WEIS 2012, Berlin, Germany, 25-26 June, 2012;Hawaii Prince Hotel Waikiki;Madrid;12-13 July;1962
9047476;9th Annual Workshop on the Economics of Information Security, WEIS 2010, Harvard University, Cambridge, MA, USA, June 7-8, 2010;Aqua Bamboo Waikiki;Berlin;1-2 June;1963
9047477;10th Annual Workshop on the Economics of Information Security, WEIS 2011, George Mason University, Fairfax, VA, USA, June 14-15, 2011;Aqua Aloha Surf Waikiki Hotel;Athens;10-14 January;1964
9047560;First Workshop on Hot Topics in Understanding Botnets, HotBots'07, Cambridge, MA, USA, April 10, 2007;Sheraton Kauai Resort;Paris;8-9 February;1965
9047651;2016 International Conference on Cyber Conflict, CyCon U.S. 2016, Washington, DC, USA, October 21-23, 2016;Kilauea Lakeside Estate;Brussels;11-13 March;1966
